site_id,osm_id,name,x,y
S001,5043306,,527095.6243403559,185941.52131000703
S002,26709559,London Zoo Parking,528448.7367759672,183610.03716368804
S003,26832232,George Mews Car Park,529240.7615651953,182598.09035899382
S004,29233515,,528319.6225347215,185756.05357751125
S005,30048856,Kenwood House,526782.6707854385,187446.88803822972
S006,30689703,,526192.2481334105,186444.06779633605
S007,32261846,Bucklebury House,529031.4591768988,182482.39505831597
S008,42958244,Saffron Hill Car Park,531432.5256279695,181950.36427711314
S009,43312307,,529642.3478670408,183533.67389284636
S010,49121522,,527334.3754085647,185299.8550345305
S011,58088098,,530009.7510533787,182186.0908200799
S012,59847115,Bloomsbury Square Car Park,530341.5950579578,181670.00012922267
S013,69382584,,527510.7416518953,185427.8184630766
S014,72998344,,525594.4075504269,184539.4651553241
S015,75815446,,530871.2150501639,181814.83598530528
S016,77059443,,526062.0637793717,183822.99569853247
S017,79813532,,528540.1674002443,184418.06482712316
S018,98978141,,526350.1230915895,184019.3320875553
S019,98978148,,526318.4098218237,183933.70418052794
S020,98978153,,526358.354808143,183923.10096920928
S021,99337466,,527449.922365884,184980.01686817093
S022,99337473,,527500.3977607372,184943.89986591355
S023,99369397,,527865.53552993,184971.44737794015
S024,99476014,,527910.3324871495,185242.0688968289
S025,99476054,,528182.1785305579,185407.91337178345
S026,99509755,,528363.0177595417,185112.5178805401
S027,99509788,,528454.8485892644,184973.27674729336
S028,99689883,,527734.6130612699,185291.83375756032
S029,99841518,,525526.2754999481,183781.1911738918
S030,99841871,,525486.5842858113,183736.80229454944
S031,99841872,,525508.6133580827,183756.03466311615
S032,99841879,,525464.0271820516,183713.98447397613
S033,100265658,,530568.2680094045,182644.04643660458
S034,100265659,,530559.0245758728,182617.77751403232
S035,100265660,,530544.9532657441,182608.3712558647
S036,100265661,,530518.1316644332,182610.56680363807
S037,100302998,,529962.7767534624,182595.91793772535
S038,100306872,,530817.3208797665,182618.8729961256
S039,100307846,,530592.3053434823,182730.45289078465
S040,101156037,,528776.4762026487,183136.26925586737
S041,101156038,,528798.9542724724,183143.67719075613
S042,101156053,,528806.4040818001,183086.8310290331
S043,101156054,,528854.7998505572,183115.2003040542
S044,101156055,,528753.5693842727,183117.68358341546
S045,101156056,,528739.2460813175,183164.47402572137
S046,101156060,,528765.8202221262,183208.20480834282
S047,101156062,,528758.583126345,183253.92621246344
S048,101321458,,526742.9565336898,184680.04071716903
S049,101483807,,526591.338608022,184495.99310875553
S050,101483833,,526592.8598841493,184512.93016113382
S051,102009597,,529591.8633705578,184199.80154133533
S052,102009601,,529640.7954511594,184245.73022486526
S053,102264914,,526538.9601633461,183978.1898623413
S054,102265874,,526452.4635936372,183900.23869452614
S055,102354353,,526703.391859362,184093.5929991455
S056,102354357,,526654.5618784145,184027.92211196336
S057,102355646,,526707.5934602543,184042.7768398574
S058,102355649,,526680.906573433,184014.3938685425
S059,103108522,,526260.2509366705,185369.44144815824
S060,103397206,,526388.0433945798,184655.98923996187
S061,103397237,,526364.649701646,184718.89848550188
S062,103397240,,526335.6314491038,184749.7163945196
S063,103397241,,526363.9377644606,184772.2403238313
S064,103870960,,527039.6403731678,184158.66002838474
S065,103871022,,527091.8659694417,184209.52820933715
S066,103956688,,527145.261500296,184222.61188509737
S067,103956691,,527115.669083355,184233.62699023442
S068,103956695,,527063.9104504857,184221.4674873174
S069,103956713,,527179.2458500178,184228.07851199905
S070,103956725,,527242.0095538952,184214.89555704
S071,103956738,,527188.4513535664,184188.79436540528
S072,103968157,,528147.3136786601,184879.79843300156
S073,104112046,,529195.8700257266,184288.024028159
S074,104112049,,529167.2216647837,184336.72834069678
S075,104229323,,528454.005487173,183824.47359805208
S076,104235234,,529229.741661039,184046.79799031056
S077,104239188,,528577.4916791548,184092.32346822994
S078,104239191,,528460.1314872437,184044.7809703089
S079,104360867,,529579.7150776119,185009.1599310856
S080,105554832,,526456.4970560315,185961.76972847237
S081,105554834,,526459.4720456983,185942.5329599639
S082,105574414,,526577.2573803461,185944.54192078023
S083,105852813,,526641.0549997794,184659.370827282
S084,105852823,,526641.8910480594,184699.82663110545
S085,107060724,,526040.0144104168,184606.65232027872
S086,107062117,,526087.6537641167,184684.79925496402
S087,107102675,,526477.1305955031,185429.95554446388
S088,107116125,,525352.3726182122,184706.3444210306
S089,107157362,,525013.1242075134,184619.17294813687
S090,107158198,,527425.6015486941,185461.56412171214
S091,107270677,,527158.4913985928,185189.090398184
S092,107532152,,528054.7236195534,184473.10533450014
S093,107532153,,527999.2025425774,184530.34931898012
S094,107532156,,527940.0817269654,184588.49803918824
S095,107669772,,526571.0700862644,185439.66834313542
S096,107669784,,526608.8498332367,185602.03361497915
S097,107669788,,526613.7346487714,185529.75502143806
S098,107669797,,526688.1699019303,185523.35232919597
S099,107669801,,526675.1133795507,185467.80872212816
S100,107808269,,529299.8316995767,185265.51763567864
S101,107810226,,529551.7149729271,184873.5044833837
S102,107826292,,529188.4958648543,185113.12525946987
S103,108163179,,525467.3520573244,184349.6699263495
S104,108163183,,525485.1830745571,184348.58272131847
S105,108263247,,526010.4232071345,184781.1054225406
S106,108338422,,529019.3411547544,185417.4146562062
S107,108339951,,529134.666193757,185245.85591255993
S108,109212770,,526510.7472099093,185372.99871046413
S109,109743124,,526437.0419622306,185322.89974401257
S110,109745104,,526428.5961890527,184956.33102422816
S111,109747336,,526269.2861411624,184863.89086088352
S112,109747353,,526232.022434791,184917.68920144928
S113,109993769,,526323.0610426451,185762.40533636868
S114,110388490,,526263.3207834228,186013.7504430995
S115,110467414,,526336.4453599032,186061.0740158815
S116,110498401,,526246.329904213,185931.80620242897
S117,110498441,,526162.3163483404,185878.4204118222
S118,110498454,,526192.106013809,185929.67064716516
S119,110509755,,526212.615683676,185742.40567521527
S120,110516906,,526099.0041248782,185389.61100335745
S121,110517684,,526043.0668695527,185513.02970893908
S122,110520224,,526094.9569944399,185435.13446161733
S123,111373358,,528952.4980263751,185112.8929328355
S124,111373417,,528682.013499522,185130.29456121358
S125,111373424,,528558.9799786771,185114.46005677507
S126,111373447,,528699.4888493947,185089.75293258185
S127,115324386,,524079.48755203316,185676.66590731862
S128,116396666,,527265.9251802661,184229.53382863262
S129,116396667,,527311.2941270997,184240.86951946965
S130,116396668,,527270.9825214822,184193.17708761911
S131,116587093,,525626.5982665988,184115.53705882933
S132,117572559,,528485.752733077,186350.51526003657
S133,117572623,,528583.5707742012,186324.1886499297
S134,117861599,,528527.9679079708,185723.1235107654
S135,118805807,,525463.9020875434,183891.04001936776
S136,118805820,,525479.327674356,183901.73962803747
S137,118805915,,525480.5865637336,183916.1739483551
S138,119613458,,525715.5903767573,184091.15188352566
S139,125295714,,530490.4227681602,181767.71312970584
S140,126218991,,527055.6836532846,185423.26840267668
S141,126219002,,526892.241700884,185555.0865211951
S142,126227631,,527311.2482770775,185561.34211267525
S143,126227640,,527360.8595587877,185583.43318463865
S144,126227649,,527469.6180943599,185621.8185291432
S145,126227657,,527426.732293243,185619.72781347332
S146,126227668,,527400.8399319691,185585.9289461048
S147,129382789,,528978.9358665799,184058.1368243186
S148,143583216,,525355.9864123437,184057.24778675908
S149,155441613,,526055.0823649631,186995.38249932174
S150,166878306,,528874.5593042815,184005.4533193884
S151,183657749,,525775.065493624,184721.54506097117
S152,203008602,,529243.7817564133,183031.264678795
S153,203008731,,529267.5862406949,183035.43242908904
S154,219151471,,525649.5515090182,184180.96437387995
S155,225302754,,529197.214825771,183299.7976469082
S156,225465209,,529223.1258343295,183419.0678696968
S157,225702886,,528973.579651412,183398.03876207702
S158,225702891,,528990.9796751739,183369.78209326768
S159,239226167,,525543.9587900701,184483.09896038385
S160,239226168,,525557.9317959988,184405.08577289007
S161,239549243,,525110.7974037278,184499.38598151162
S162,239608560,,525636.061332856,184369.40558173778
S163,239608567,,525550.9061714981,184451.58114248802
S164,239761941,,529135.4879223845,182729.98849449685
S165,240100841,,525471.2055863763,184312.4643518872
S166,300006774,,530652.7483032943,182880.29377797295
S167,4222888,,531049.3102373625,181697.72483515946
S168,318350455,,529498.4639125918,182001.88285958942
S169,343240738,,525721.9403223334,184953.1458419376
S170,380853120,,526253.05662133,184104.9812128486
S171,381285419,,526595.3547817651,184289.59310837372
S172,416813909,,528823.2826553814,184453.19768474478
S173,421622675,,528911.6699243716,184507.3163347045
S174,429848448,,528567.2118946131,184727.7061000954
S175,460170264,Curnock Estate Car Park,529176.0352623175,183727.22583141303
S176,464444346,,527492.7377052043,183598.2010229831
S177,483476802,,528697.1175575285,185531.83528048042
S178,483476806,,528636.8617289762,185540.4683612194
S179,483476810,,528759.1192928032,185429.88715436452
S180,492083205,,528793.0853842348,186972.813208169
S181,492083207,,528866.5132472704,187005.8037019639
S182,496458333,,525454.6227803734,185070.33889116562
S183,496458336,,525470.1196076485,185045.39787061687
S184,516912953,,528349.455353891,183942.39148904665
S185,516912956,,528296.9123606601,183938.3551334603
S186,516912957,,528241.2274579998,183827.02802529253
S187,516923905,,528137.7085421113,183906.04192651328
S188,516923919,,528167.1722024316,183912.3875011705
S189,516923920,,528208.0520874024,183884.91653124944
S190,517107020,,528365.7360393616,183963.3606935918
S191,517107041,,528188.2908289329,183898.19575994345
S192,517115399,,528199.3730755673,183928.45123060019
S193,517125569,,528199.5928847371,183822.48786364892
S194,519530093,,528101.4655037505,183702.88152596782
S195,519717857,,528103.2399129814,183866.53575170826
S196,519723666,,528014.5211988196,184059.1202581725
S197,519723667,,528040.7289020525,184032.86939049847
S198,519723668,,528133.2014519878,183980.03828377026
S199,525239249,,527710.518215811,187063.29728325608
S200,548640080,,526557.1513215299,186532.5240891185
S201,623417652,,531172.0881893116,182159.58916956026
S202,623417656,,531174.9361572212,182117.60400852383
S203,623417660,,531143.7636956944,182097.38577100777
S204,625129391,,531045.845786998,182162.1699363593
S205,627196004,,531056.2199315528,182158.2028087187
S206,695783095,,526899.5495670021,184223.3524518453
S207,695784188,,527251.9185126903,184323.6649193383
S208,695784932,,527265.7446159646,184488.5816576169
S209,747807934,,529194.5083758491,182012.08473270564
S210,770077873,,529506.8913097748,182873.17135254617
S211,771905110,,526956.5406280593,184488.71233610561
S212,780551557,,530703.0287505348,181696.69356391692
S213,780551558,,530714.7660740701,181725.53919767737
S214,802723464,,530111.4464105496,182317.90110585076
S215,803073332,,530359.3823526086,182631.68020953517
S216,803073336,,530424.4411260769,182652.5727498192
S217,803078908,,530518.9269368302,182697.18822030228
S218,803078913,,530517.6079919693,182689.59403510613
S219,804720845,,530470.2411076919,181780.63657444922
S220,804729553,,530481.4065494479,181900.62705507484
S221,804729555,,530468.7928559561,181924.23845764826
S222,804729563,,530553.9900425995,181988.89322335224
S223,804729566,,530516.9926489592,181958.45497939992
S224,846268429,,529413.0264623084,184868.53601887147
S225,846268430,,529412.0252989857,184808.21766908557
S226,846268433,,529389.1622326137,184814.09931749036
S227,846923639,,529093.3785073822,184093.25293031483
S228,849284693,,528860.6192661608,184282.70646575236
S229,849342544,,529134.6887673662,184163.850690948
S230,851808137,,529161.5971769277,182776.0687432034
S231,860164680,,528675.7164243928,185230.9531355796
S232,863810462,,528630.1537616355,185096.5664440068
S233,878202954,,529262.3732039516,184968.85124479988
S234,913673442,,527462.2285862014,185627.2751997073
S235,913673443,,527395.345876663,185593.3966500753
S236,913673444,,527319.7290288912,185569.43691029574
S237,914793231,,527476.1530590657,184372.9426955501
S238,936388362,,528447.6797544732,185215.7146311953
S239,938724842,,526640.790045897,187268.8144003582
S240,940735081,,526357.9120897022,184481.56028252214
S241,940753021,,525426.6737526371,183969.05526406266
S242,946386134,,526142.8749135768,184070.089376139
S243,963210194,,524441.2086383551,185162.39284382603
S244,964656801,,528042.4058351386,184534.35836963437
S245,971212673,,530138.5426795902,183082.22502421084
S246,1008133603,,529901.2334572661,181877.8053108505
S247,1013697169,,530875.8610899416,181440.81958389774
S248,1013697170,,530893.2690718881,181400.070025501
S249,1013697171,,530853.5829199844,181330.31446539814
S250,1013697172,,530781.1669108138,181299.48506385082
S251,1017359486,,526691.7834552447,183919.91076450687
S252,1017601288,,526366.3970150981,184183.1183479717
S253,1017802398,,526524.3739414049,184559.3197576643
S254,1017857224,,526037.7447090757,184981.83580750108
S255,1017857231,,525888.0514950574,184862.6970563289
S256,1018217337,,525739.721006646,185264.90686507893
S257,1018528945,,525102.3991561913,184824.12838493957
S258,1018528954,,525031.1368480504,184809.57672507624
S259,1018574605,,525605.1553910122,184790.70910183358
S260,1020017439,,524128.60054073145,185619.341259984
S261,1020017446,,524384.9779157034,185227.0264690188
S262,1020299111,,525316.7690607344,185181.10690218818
S263,1020299116,,525375.81406747,185180.63500221347
S264,1022714327,,529942.9867513669,183024.1821965355
S265,1022714328,,529974.0850111971,183024.42607696995
S266,1022714329,,529982.444227991,183010.4045334608
S267,1024512116,,529414.4003338957,183577.42949798223
S268,1026514341,,528451.1372182004,185973.8631277869
S269,1030416332,,528801.27069214,182303.75047100926
S270,1038704929,,526570.2007885628,184361.90472772924
S271,1039405526,,527588.1500604594,184330.7058737833
S272,1039553380,,525159.096802439,185398.68779680063
S273,1050881064,,526475.7114426375,184472.46128298037
S274,1050881065,,526526.5395331148,184436.59087413634
S275,1051890384,,529745.6459435155,183337.55765238262
S276,1054178676,,530378.4582200493,182802.42763255053
S277,1054178677,,530370.7545171533,182802.80853270128
S278,1054384452,,530595.3472140344,182887.99177590993
S279,1054384453,,530532.2010151399,182858.9129400935
S280,1054516306,,529851.6129627064,182591.7686613922
S281,1058301455,,525755.9890718373,183714.02940462984
S282,1059979004,,529267.4300527344,184148.3991242955
S283,1059979011,,529346.2436052503,184193.73382628555
S284,1060145498,,526254.3745177815,186402.12372559955
S285,1060167183,,526235.5444310948,186464.43689721884
S286,1060232188,,526410.9864733936,184501.98058138366
S287,1091228724,,527372.4051410779,184393.4791905329
S288,1093917020,,529570.2198451147,184611.78534910723
S289,1095456372,,527317.6637879155,184782.65131035002
S290,1129109066,,525329.8100663351,185509.0145462929
S291,1150921575,,525381.176333847,185134.0007840782
S292,1150921577,,525375.5365949953,185154.26896433445
S293,1150921578,,525405.563840859,185150.79746171364
S294,1174514783,,529145.0355247293,185377.24614503238
S295,1213093067,,529059.6701190303,185980.78935977517
S296,1227217043,,527709.8105105375,185467.433379136
S297,1240541504,,529061.3236763602,185069.61784564296
S298,1240808912,,529545.0504971386,184847.6341307263
S299,1241029359,,529452.8014212302,185074.52593090507
S300,1241922786,,529346.6502205459,183510.51561214498
S301,1246445762,,529806.8144669612,184837.21837127104
S302,1246687967,,529424.9590753043,184617.0579869159
S303,1246727711,,529522.1202889312,185040.94872017286
S304,1246727713,,529637.4965109098,184873.42806759448
S305,1247945397,,529601.1047562045,184844.6103069453
S306,1247945398,,529617.5447669398,184849.1343427571
S307,1247945399,,529666.0226700268,184853.88393321767
S308,1247945400,,529644.7282176659,184844.36904864694
S309,1247945401,,529620.7970631713,184815.39372610173
S310,1248833029,,529005.2218854172,184817.7571023629
S311,1248833030,,528994.991996478,184645.6786840134
S312,1248833031,,529099.7192044371,184670.228183298
S313,1248833033,,529299.0848109513,184396.16637312088
S314,1248833034,,529312.5731096908,184411.2502767543
S315,1248833035,,529049.5648830947,184446.6224974937
S316,1248840417,,529312.8197865055,184461.60535406112
S317,1248840419,,529302.5167723623,184512.6952775099
S318,1248840420,,529279.7394330722,184532.12159491706
S319,1248840421,,529340.745089896,184522.16732302096
S320,1248842731,,529005.1823367318,184382.5455760031
S321,1248882394,,529358.3213220325,185124.90014996362
S322,1249148637,,529031.0408241671,185112.76647027637
S323,1249439714,,530767.1702864777,182537.8335207992
S324,1249439719,,530768.5907898465,182581.26064142762
S325,1267525515,,527967.3101744854,184245.8122214335
S326,1312813832,,527744.9080255681,184715.15702524243
S327,1314177353,,527698.5544400823,184719.81000459733
S328,1324491766,,529976.8486281155,183021.06711377416
S329,1325549357,,531150.6497714609,181791.84422128854
S330,1325549361,,531102.5277319824,181816.25743818906
S331,1325549362,,531230.7441436928,181864.69566605307
S332,18179341,,531029.4578834077,181777.9444020162
S333,1327595765,,527197.5869004347,185453.35982073113
S334,1332708020,,528068.6271602646,186360.26154531678
S335,1351251837,,530536.8809316537,182552.00214633098
S336,1351251838,,530530.1153668247,182613.20472541163
S337,1359716477,,527171.6236793859,185395.67787216432
S338,1425908270,,528575.0447150121,185398.95806409218
S339,1425910867,,528412.2318021004,185929.1512453643
S340,1451730985,,529419.5174318827,183885.17332092323
S341,1451730988,,529452.345502207,183889.9233730902
S342,1478702314,,530638.9789914647,181404.54349765324
S343,1478702319,,530673.6846615833,181330.31392931656
S344,1479650756,,528762.0439759397,183082.16427607118
S345,1479650757,,528794.2752772181,183247.53968218784
S346,1479650759,,528838.4710171495,183105.38575818768
S347,1503768852,,528913.92823164,183050.9455258692
